document	topic	gamma
1_1818	1	0.0017006802721088435
10_1820	1	0.016666666666666666
100_1825	1	0.10416666666666667
101_1825	1	0.03409090909090909
102_1825	1	0.013888888888888888
103_1825	1	0.012195121951219513
104_1825	1	0.016129032258064516
105_1826	1	0.006756756756756757
11_1820	1	0.003125
112_1824	1	0.01
113_1824	1	0.010869565217391304
114_1824	1	0.0015625
115_1824	1	0.036016949152542374
116_1824	1	0.001718213058419244
117_1827	1	0.04852941176470588
119_1826	1	0.04032258064516129
12_1820	1	0.013613861386138614
120_1826	1	0.006493506493506494
121_1826	1	0.05952380952380952
122_1824	1	0.006024096385542169
123_1824	1	0.005154639175257732
124_1824	1	0.06609195402298851
127_1830	1	0.0992063492063492
128_1830	1	0.006493506493506494
129_1829	1	0.0015479876160990713
13_1820	1	0.0031446540880503146
130_1834	1	0.078125
131_1827	1	0.003067484662576687
132_1827	1	0.031818181818181815
133_1828	1	0.005434782608695652
134_1830	1	0.10576923076923077
135_1830	1	0.016129032258064516
136_1830	1	0.19230769230769232
137_1830	1	0.10784313725490197
138_1826	1	0.013392857142857142
139_1826	1	0.0017543859649122807
14_1820	1	0.007042253521126761
142_1826	1	0.006726457399103139
143_1826	1	0.00847457627118644
146_1825	1	0.09033613445378151
147_1825	1	0.006944444444444444
148_1825	1	0.003105590062111801
149_1825	1	0.006666666666666667
15_1820	1	0.0045871559633027525
150_1825	1	0.006097560975609756
152_1815	1	0.030066815144766147
154_1815	1	0.08847736625514403
155_1816	1	0.0026595744680851063
156_1826	1	0.0436046511627907
157_1826	1	0.008771929824561403
16_1820	1	0.01293103448275862
160_1826	1	0.011111111111111112
161_1826	1	0.011904761904761904
162_1815	1	0.006382978723404255
17_1821	1	0.0015105740181268882
18_1821	1	0.014423076923076924
19_1822	1	0.010638297872340425
2_1821	1	0.003401360544217687
20_1822	1	0.007075471698113208
200_1816	1	0.003289473684210526
201_1816	1	0.01797945205479452
202_1816	1	0.002
205_1815	1	0.0043859649122807015
206_1816	1	0.009259259259259259
209_1818	1	0.028645833333333332
21_1822	1	0.015
210_1818	1	0.011111111111111112
211_1818	1	0.060794044665012405
212_1820	1	0.00625
214_1824	1	0.011363636363636364
215_1824	1	0.5833333333333334
216_1815	1	0.04779411764705882
217_1829	1	0.004166666666666667
218_1829	1	0.15625
219_1829	1	0.0056179775280898875
22_1823	1	0.0078125
220_1829	1	0.00980392156862745
221_1829	1	0.025943396226415096
222_1829	1	0.003875968992248062
224_1829	1	0.016129032258064516
226_1829	1	0.02054794520547945
227_1825	1	0.006112469437652812
228_1829	1	0.008620689655172414
229_1830	1	0.043689320388349516
23_1823	1	0.014204545454545454
230_1830	1	0.005376344086021506
232_1831	1	0.002232142857142857
236_1830	1	0.011904761904761904
239_1824	1	0.033185840707964605
24_1823	1	0.0033783783783783786
240_1825	1	0.0036496350364963502
242_1825	1	0.013157894736842105
243_1825	1	0.0583756345177665
245_1821	1	0.08628318584070796
248_1823	1	0.01674641148325359
249_1824	1	0.0022624434389140274
25_1823	1	0.016778523489932886
250_1818	1	0.0015873015873015873
251_1818	1	0.002512562814070352
252_1818	1	0.013392857142857142
253_1818	1	9.689922480620155e-4
254_1818	1	0.013392857142857142
255_1819	1	0.00980392156862745
256_1819	1	0.0031446540880503146
257_1819	1	0.007246376811594203
258_1819	1	0.04692556634304207
259_1819	1	0.17352941176470588
26_1823	1	0.025
260_1819	1	0.0024752475247524753
261_1820	1	0.03580901856763926
262_1820	1	0.0049504950495049506
263_1820	1	0.02027027027027027
264_1820	1	0.005208333333333333
265_1820	1	0.02406417112299465
266_1820	1	0.002564102564102564
267_1820	1	0.002577319587628866
268_1820	1	0.0017857142857142857
269_1820	1	0.03038674033149171
27_1823	1	0.018950437317784258
270_1820	1	0.004
271_1820	1	0.057065217391304345
272_1820	1	0.006024096385542169
273_1820	1	0.005813953488372093
274_1820	1	0.005535055350553505
275_1820	1	0.021929824561403508
276_1821	1	0.10606060606060606
277_1821	1	0.01937984496124031
278_1821	1	0.0031446540880503146
279_1821	1	0.008663366336633664
28_1823	1	0.010638297872340425
280_1821	1	0.02
281_1821	1	0.0016286644951140066
282_1821	1	0.011904761904761904
283_1821	1	0.005376344086021506
284_1821	1	0.0040650406504065045
285_1821	1	0.0023148148148148147
286_1821	1	0.009887005649717515
287_1821	1	0.0456989247311828
288_1821	1	0.028
289_1821	1	0.0026455026455026454
29_1820	1	0.019736842105263157
290_1818	1	0.06654676258992806
291_1819	1	0.001488095238095238
292_1819	1	0.009157509157509158
293_1822	1	0.0020920502092050207
294_1822	1	0.024752475247524754
295_1822	1	0.0023923444976076554
296_1822	1	0.050335570469798654
297_1822	1	0.03571428571428571
298_1822	1	0.03608247422680412
299_1822	1	0.07046979865771812
3_1819	1	0.014138817480719794
30_1820	1	0.007692307692307693
